at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
1700048O20Rik	0.1226983	0.01919838	0.0129074	-0.001934639	-0.08867344	-0.05299265	-0.03134823	-0.06974731	-0.3154906	-0.02736793	-0.05703069	-0.3366553	-0.03048104	-0.09739061	-0.3810525
1700055D18Rik	0.006693037	0.04076448	-0.0405693	0.03684076	0.01761454	-0.002450187	0.03287961	0.02492866	-0.01546598	0.02563902	0.07624013	-0.07494515	0.04048708	0.05610744	-0.2528883
1700067P10Rik	0.001651916	-0.005358204	0.01315921	0.001217434	-0.004610966	0.001147015	1.308599e-05	-0.01721145	0.001708677	0.001464028	-0.04296446	0.04100404	0.00114239	-0.02570107	0.003025113
1700071M16Rik	-0.05291758	0.0001357033	-0.005141414	-0.03954693	-0.06097585	-0.03861261	-0.0643597	0.01612777	-0.01785801	-0.01325458	-0.06380948	-0.3624163	-0.05217749	-0.05106084	-0.2935459
1700073E17Rik	-0.002975226	0.002991949	0.006220464	0.0007712079	-0.01730357	0.01186274	-0.01010161	0.02418726	0.114504	0.005265939	0.01173227	0.07839412	0.01420497	0.008353486	0.1504452
1700084C06Rik	-0.01556228	0.03658133	-0.02509967	-0.01388586	0.003513568	0.0076437	-0.02098748	-0.001794586	-0.02805399	-0.0115032	0.04138162	-0.01600356	-0.01830453	0.04274834	0.01267875
1700086L19Rik	0.1558779	-0.01374943	0.05173967	0.02396564	-0.01517249	-0.07485365	0.0634025	-0.09846577	-0.3914184	-0.007630846	-0.06844293	-0.3488633	-0.0818198	-0.08129239	-0.3839522
1700088E04Rik	-0.04443191	0.0139802	0.07375877	-0.01191758	0.01355075	0.1067282	0.02223766	-0.00652489	0.09481331	0.04169464	0.1300513	0.01679645	0.005650031	-0.008290931	0.1869562
1700093K21Rik	-0.02395985	-0.007592588	-0.09160118	0.004275965	0.02065379	0.006956625	-0.0191915	0.01779701	0.09165264	-0.03046174	-0.0146289	-0.0539524	-0.01517323	-0.08147283	-0.01481047
1700095J03Rik	0.006378867	0.01914579	0.006740347	0.002029035	0.01340566	-0.02416512	0.01358994	0.1106139	-0.05398517	0.01439875	0.06480012	-0.1092001	-0.001300084	0.07695055	-0.09042151
1700101E01Rik	0.005840217	0.02018937	-0.02998499	0.0120706	-0.01260393	-0.03954715	0.01724996	-0.00951087	-0.01683031	0.02314853	0.1560326	-0.135728	0.01010505	0.02683073	-0.06386526
1700101I11Rik	0.01134674	-0.02355941	0.04158946	0.009074851	-0.07323239	-0.04183503	-0.01436038	-0.0775152	-0.2392611	-0.001938712	-0.1761065	-0.2491499	0.008046077	-0.1776889	-0.2160527
1700112E06Rik	0.04134789	0.01555456	0.004028245	0.01582643	-0.0007062551	0.03855641	0.01501058	0.03328688	0.1963492	0.005862909	0.1190627	0.2524266	0.1238486	0.06129657	0.3021118
1700112J16Rik	-0.004604715	0.008697731	-0.06692105	0.004983756	-0.05847378	0.001740753	-0.002273294	0.01385935	-0.08741213	0.01865925	-0.007334418	0.004181937	0.05001429	-0.1887213	-0.01795104
1700123O20Rik	0.0819004	-0.04261001	0.1076329	0.04475937	-0.003633085	0.1057557	0.09916768	0.07664232	0.1174704	0.06600692	0.02435416	0.2123232	0.1100936	0.08129702	0.2600673
1810010K12Rik	-0.00223454	-0.0318214	0.04708546	0.002091824	0.009237985	0.0003760134	0.006628753	-0.09390552	-0.02904005	-0.004849672	-0.124285	0.007586588	-0.0154827	-0.05492263	0.07706049
1810011O10Rik	0.001154209	0.038602	0.05786132	0.02019329	0.0265752	0.1129807	0.04939506	0.01776792	0.0651763	0.04737004	0.04849711	0.2057239	0.05105083	0.02092326	0.109343
1810013L24Rik	0.01157502	-0.04596274	-0.03945514	-0.05108793	-0.04730437	-0.01786595	-0.08533925	0.006165286	0.02267582	-0.08934099	-0.04393897	0.02315945	-0.002759947	-0.01553004	-0.01190719
1810020O05Rik	-0.04001926	-0.002543641	-0.1133607	-0.09776696	-0.07821837	-0.1663265	-0.09901496	-0.1683229	-0.6668818	-0.1366376	-0.1936435	-1.057785	-0.140279	-0.3013416	-0.9002494
1810021B22Rik	-0.03484266	0.04511009	-0.04921358	-0.003426372	0.07276151	-0.05629561	0.01156266	0.04516244	-0.1660294	0.004379352	0.08700481	-0.02505436	-0.02193812	0.06372607	-0.08839385
1810024B03Rik	-0.06136498	0.002932872	0.05007918	-0.03131277	0.001192009	0.03812669	-0.03918059	0.003490241	-0.002196507	-0.03440381	-0.06876588	-0.1184976	-0.113504	-0.1051928	-0.1820978
1810026B05Rik	-0.006409367	-0.06199236	0.08751853	-0.1305806	-0.02350886	0.0772995	-0.1028431	0.004047657	-0.003983699	-0.04926927	-0.05060046	0.04778399	0.008509404	-0.06983603	0.06096461
1810026J23Rik	0.006108645	-0.008271039	0.02318486	0.001785232	0.008696208	-0.01698096	-0.02052297	-0.04309723	0.004532712	-0.01771283	-0.01829907	-0.0016732	0.003390025	-0.01804788	0.008638005
1810037I17Rik	0.06924829	0.01782688	0.05687135	0.08785821	0.0421353	0.001943939	0.06048194	-0.04909743	-0.1000626	0.07842575	-0.05715874	-0.04610158	-0.002719959	-0.0748021	-0.06854553
1810043G02Rik	-0.02653954	-0.008892849	0.02108261	0.0130163	0.04346208	0.04316779	-0.04463515	0.05085883	0.1751824	0.0007626825	0.07659579	0.1794444	0.08046987	0.09022833	0.1827513
1810043H04Rik	-0.01094354	-0.01927256	0.2019506	-0.006850985	0.07242473	0.07611395	0.05896414	-0.03786697	0.05822962	-0.02924687	-0.04442395	0.1511165	0.007718446	-0.06420106	0.05000789
1810049J17Rik	-0.01393017	-0.01408135	0.04496797	0.01077066	-0.04988893	0.02825037	0.009283395	0.01576009	0.1654351	0.01420508	-0.03363825	0.135401	0.0038472	0.08855149	0.1420931
1810059C17Rik	-0.002492537	0.004328057	0.006452816	-0.002953285	0.005282438	0.0128755	0.0009796092	0.007757197	0.06341809	-0.002978779	0.04657666	0.0517056	-0.005430301	0.0346114	0.06679681
1810062G17Rik	-0.03287317	-0.001959235	0.02007303	-0.01931069	-0.00176629	-0.004598444	-0.01286494	-0.001250284	-0.01027136	-0.01370109	-0.01654995	-0.05643063	-0.01290567	-0.03628358	0.1201396
2010001K21Rik	-0.01116653	0.03722726	0.002244573	-0.01022127	0.02145396	0.03462232	0.01926983	0.0743032	0.05191554	-0.003442029	0.07763466	0.0720855	-0.01131702	0.110285	0.129048
2010007H06Rik	-0.002540168	0.0009710417	-0.02218427	-0.0220316	-0.05141933	-0.01153952	-0.02022054	-0.02903643	-0.007646938	-0.01554706	-0.01774482	-0.04513814	-0.03918428	-0.04576635	-0.04570551
2010012O05Rik	-0.02617034	-0.008301288	0.01648123	-0.01491992	-0.07931863	0.03277513	0.01483116	-0.01263811	0.03720926	-0.02121049	-0.00783957	0.02700441	-0.02985829	-0.01658036	0.05740534
2010107E04Rik	0.05677952	-0.004443889	0.1107175	0.03019765	0.06430023	0.1634668	0.02696571	0.003555775	0.01386958	0.06934025	-0.003363119	0.08789996	0.07521794	0.01913208	0.06038293
2010107G23Rik	-0.02610781	-0.01197281	-0.02888619	0.02039993	0.06167424	0.0398766	-0.03888935	0.05512207	0.07761906	-0.02034478	0.04017879	0.03689541	0.04456665	0.0801887	0.07154008
2010111I01Rik	0.009605183	0.01661358	-0.02197293	0.01251194	0.01944003	0.07513852	-0.0398572	0.0752859	0.03736419	-0.0242376	-0.04743421	0.008051583	-0.01586111	-0.06596626	0.02015892
